sample	group	lib.size	norm.factors
TCGA-G9-6362-11	N	47732779.07	1
TCGA-G9-6362-01	T	36761358.49	1
TCGA-G9-6363-11	N	60771319.21	1
TCGA-G9-6363-01	T	20186197.56	1
TCGA-G9-6364-01	T	44518817.39	1
TCGA-G9-6365-11	N	60025410.85	1
TCGA-G9-6365-01	T	57113401.29	1
TCGA-G9-6366-01	T	63125928.54	1
TCGA-G9-6367-01	T	59474182.12	1
TCGA-G9-6369-01	T	48289510.5	1
TCGA-G9-6370-01	T	53640314.34	1
TCGA-G9-6371-01	T	61583890.91	1
TCGA-G9-6373-01	T	49737056.06	1
TCGA-G9-6377-01	T	55320925.5	1
TCGA-G9-6378-01	T	32858421.09	1
TCGA-G9-6379-01	T	38712863.88	1
TCGA-G9-6384-11	N	47517549.3	1
TCGA-G9-6384-01	T	66391049.71	1
TCGA-G9-6385-01	T	54330484.67	1
TCGA-G9-6494-01	T	46734089.5	1
TCGA-G9-6496-11	N	51000383.3	1
TCGA-G9-6496-01	T	28992612.7	1
TCGA-G9-6498-01	T	43439845.42	1
TCGA-G9-6499-11	N	58125821.62	1
TCGA-G9-6499-01	T	56477529.23	1
TCGA-G9-7509-01	T	45856795.85	1
TCGA-G9-7510-01	T	61613266.84	1
TCGA-G9-7519-01	T	57447972.63	1
TCGA-G9-7521-01	T	71765617.6	1
TCGA-G9-7522-01	T	73260132.53	1
TCGA-G9-7523-01	T	57745434.97	1
TCGA-G9-7525-01	T	52561437.81	1
TCGA-G9-A9S0-01	T	27459358.47	1
TCGA-G9-A9S4-01	T	48778281.07	1
TCGA-G9-A9S7-01	T	48267586.34	1
TCGA-H9-7775-01	T	58089155.49	1
TCGA-H9-A6BX-01	T	41077313.2	1
TCGA-H9-A6BY-01	T	51039369.84	1
TCGA-HC-7075-01	T	64309415.91	1
TCGA-HC-7077-01	T	59839011.13	1
TCGA-HC-7078-01	T	45751994.76	1
TCGA-HC-7079-01	T	46981936.42	1
TCGA-HC-7080-01	T	66992792.15	1
TCGA-HC-7081-01	T	38335271.96	1
TCGA-HC-7209-01	T	50713928.66	1
TCGA-HC-7210-01	T	63671123.99	1
TCGA-HC-7211-11	N	47509493.37	1
TCGA-HC-7211-01	T	67166932.77	1
TCGA-HC-7212-01	T	59284047.37	1
TCGA-HC-7213-01	T	53076829.93	1
TCGA-HC-7230-01	T	60883061.51	1
TCGA-HC-7231-01	T	52904246.8	1
TCGA-HC-7232-01	T	55891037.23	1
TCGA-HC-7233-01	T	55222098.88	1
TCGA-HC-7736-01	T	72985864.49	1
TCGA-HC-7737-11	N	55834145.41	1
TCGA-HC-7737-01	T	49878820.55	1
TCGA-HC-7738-11	N	41640691.75	1
TCGA-HC-7738-01	T	62781185.69	1
TCGA-HC-7740-11	N	43304120.67	1
TCGA-HC-7740-01	T	46627497.22	1
TCGA-HC-7742-11	N	46197004.91	1
TCGA-HC-7742-01	T	52135124.36	1
TCGA-HC-7744-01	T	54360610.77	1
TCGA-HC-7745-11	N	49222118.31	1
TCGA-HC-7745-01	T	40130312.62	1
TCGA-HC-7747-11	N	69271740.03	1
TCGA-HC-7747-01	T	48135658.29	1
TCGA-HC-7748-01	T	71942814.84	1
TCGA-HC-7749-01	T	67275571.73	1
TCGA-HC-7750-01	T	33630864.37	1
TCGA-HC-7752-11	N	43462588.42	1
TCGA-HC-7752-01	T	28638219.9	1
TCGA-HC-7817-01	T	40172244.25	1
TCGA-HC-7818-01	T	59659742.07	1
TCGA-HC-7819-11	N	54542509.57	1
TCGA-HC-7819-01	T	50889161.33	1
TCGA-HC-7820-01	T	52792291.24	1
TCGA-HC-7821-01	T	53958129.29	1
TCGA-HC-8213-01	T	40353491.53	1
TCGA-HC-8216-01	T	37995002.26	1
TCGA-HC-8256-01	T	49089239.41	1
TCGA-HC-8257-01	T	48715173.62	1
TCGA-HC-8258-11	N	69467147.07	1
TCGA-HC-8258-01	T	64821718.21	1
TCGA-HC-8259-11	N	56841382.81	1
TCGA-HC-8259-01	T	58397976.86	1
TCGA-HC-8260-11	N	48923524.69	1
TCGA-HC-8260-01	T	61047598.6	1
TCGA-HC-8261-01	T	58505688.94	1
TCGA-HC-8262-11	N	45462050.53	1
TCGA-HC-8262-01	T	57379274.49	1
TCGA-HC-8264-01	T	52814958.67	1
TCGA-HC-8265-01	T	41086016.12	1
TCGA-HC-8266-01	T	45831545.74	1
TCGA-HC-A48F-01	T	43592182.5	1
TCGA-HC-A4ZV-01	T	28801048.12	1
TCGA-HC-A631-01	T	37626218.02	1
TCGA-HC-A632-01	T	36638167.52	1
TCGA-HC-A6AL-01	T	53611919.99	1
TCGA-HC-A6AN-01	T	46809548.21	1
TCGA-HC-A6AO-01	T	53195702.27	1
TCGA-HC-A6AP-01	T	48581151.66	1
TCGA-HC-A6AQ-01	T	51448219.89	1
TCGA-HC-A6AS-01	T	53159951.85	1
TCGA-HC-A6HX-01	T	42728548.45	1
TCGA-HC-A6HY-01	T	43849528.72	1
TCGA-HC-A76W-01	T	42943796.86	1
TCGA-HC-A76X-01	T	67337787.85	1
TCGA-HC-A8CY-01	T	48448259.11	1
TCGA-HC-A8D0-01	T	33566195.86	1
TCGA-HC-A8D1-01	T	37919195.73	1
TCGA-HC-A9TE-01	T	28668322.53	1
TCGA-HC-A9TH-01	T	62216991.02	1
TCGA-HI-7168-01	T	50840148.86	1
TCGA-HI-7169-01	T	25263159.53	1
TCGA-HI-7170-01	T	44467711.72	1
TCGA-HI-7171-01	T	83663986.21	1
TCGA-J4-8198-01	T	62521242.54	1
TCGA-J4-8200-01	T	42539876.59	1
TCGA-J4-A67K-01	T	49634805.15	1
TCGA-J4-A67L-01	T	53935319.42	1
TCGA-J4-A67M-01	T	52121622.41	1
TCGA-J4-A67N-01	T	42916899.38	1
TCGA-J4-A67O-01	T	45262475.71	1
TCGA-J4-A67Q-01	T	35242287.65	1
TCGA-J4-A67R-01	T	43719211.17	1
TCGA-J4-A67S-01	T	60245801.92	1
TCGA-J4-A67T-01	T	45480441.84	1
TCGA-J4-A6G1-01	T	42963716.55	1
TCGA-J4-A6G3-01	T	37281154.58	1
TCGA-J4-A6M7-01	T	52536113.25	1
TCGA-J4-A83I-01	T	53325280.7	1
TCGA-J4-A83J-11	N	46374672.76	1
TCGA-J4-A83J-01	T	48943097.59	1
TCGA-J4-A83K-01	T	55213408.77	1
TCGA-J4-A83L-01	T	51329777.43	1
TCGA-J4-A83M-01	T	46548817.78	1
TCGA-J4-A83N-01	T	41674268.43	1
TCGA-J4-AATV-01	T	46881753.42	1
TCGA-J4-AATZ-01	T	61902621.57	1
TCGA-J4-AAU2-01	T	42178324.1	1
TCGA-J9-A52B-01	T	36114335.18	1
TCGA-J9-A52C-01	T	29307429.37	1
TCGA-J9-A52D-01	T	40535127.72	1
TCGA-J9-A52E-01	T	34254861.83	1
